region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
东城, 西北 , 2室1厅 , 105.89, 精装,国瑞城西区 ,2009,16,崇文门,1015,95855.0
东城, 西 , 1室1厅 , 39.93, 精装,东直门南大街 ,1991,18,东直门,425,106437.0
东城, 东北 , 2室1厅 , 106.48, 精装,阳光都市 ,2001,25,工体,1098,103118.0
东城, 西 , 1室1厅 , 42.67, 简装,新奥洋房 ,2005,9,永定门,370,86712.0
东城, 南 北 , 2室1厅 , 64.34, 精装,安德路55号院 ,1977,4,安定门,530,82375.0
东城, 南 北 , 2室1厅 , 47.92, 简装,帽儿胡同45号院 ,1985,5,地安门,715,149208.0
东城, 南 北 , 3室2厅 , 138.38, 精装,新景家园西区 ,2013,9,崇文门,1400,101171.0
东城, 西 , 1室1厅 , 48.92, 精装,金鱼池西区 ,2002,7,天坛,426,87081.0
东城, 西北 , 4室1厅 , 155.65, 精装,京禧阁 ,2013,22,广渠门,1130,72599.0
东城, 南 , 2室1厅 , 85.86, 精装,大方家胡同 ,2003,9,朝阳门内,955,111228.0
东城, 南 , 2室1厅 , 67.1, 精装,东直门外大街(东城） ,1990,14,东直门,575,85693.0
东城, 南 北 , 3室1厅 , 70.66, 毛坯,西青年沟 ,1983,6,安贞,720,101897.0
东城, 南 , 1室1厅 , 48.04, 简装,豆瓣胡同 ,2003,10,朝阳门内,680,141549.0
东城, 西北 , 2室1厅 , 71.87, 简装,南门仓胡同 ,2003,6,朝阳门内,789,109782.0
东城, 南 , 1室1厅 , 60.06, 精装,新景家园东区 ,2005,17,崇文门,610,101566.0
东城, 东 西 , 3室1厅 , 82.68, 精装,香饵胡同 ,2002,6,交道口,1080,130625.0
东城, 北 , 1室1厅 , 74.24, 简装,聚龙花园 ,1996,8,工体,600,80819.0
东城, 东南 , 2室2厅 , 136.84, 简装,富莱茵花园 ,2001,21,永定门,730,53347.0
东城, 西 , 1室0厅 , 44.82, 简装,东方财富 ,2006,15,广渠门,425,94824.0
东城, 南 北 , 2室1厅 , 54.33, 简装,中剪子巷 ,1982,5,交道口,710,130683.0
东城, 西北 , 2室1厅 , 72.91, 精装,天天家园 ,2002,11,永定门,456,62543.0
