region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
丰台, 东 , 2室1厅 , 62, 简装,左右坊 ,2009,16,马家堡,375,60484.0
丰台, 南 , 2室1厅 , 70.16, 简装,广安﹒康馨家园 ,2014,28,青塔,340,48461.0
丰台, 南 , 1室1厅 , 48.42, 精装,御景春天 ,2012,21,科技园区,259,53491.0
丰台, 西北 , 2室1厅 , 89.1, 简装,上海建筑 ,2010,15,大红门,560,62851.0
丰台, 南 北 , 2室1厅 , 57.12, 精装,六里桥7号院 ,1988,6,六里桥,350,61275.0
丰台, 南 北 , 2室1厅 , 60.3, 精装,海户西里 ,1993,14,洋桥,335,55556.0
丰台, 南 北 , 2室1厅 , 55.4, 简装,角门东里 ,1990,6,角门,320,57762.0
丰台, 南 北 , 2室1厅 , 87.68, 精装,长安新城一区 ,2003,17,青塔,525,59877.0
丰台, 南 北 , 2室1厅 , 68.67, 精装,富卓苑 ,2000,6,马家堡,420,61163.0
丰台, 西南 北 , 2室1厅 , 78.75, 简装,彩虹城四区 ,2005,16,赵公口,449,57016.0
丰台, 南 北 , 3室1厅 , 73.11, 简装,洋桥北里 ,1988,6,洋桥,420,57448.0
丰台, 南 北 , 3室2厅 , 114.74, 精装,文成建筑 ,2008,17,成寿寺,760,66237.0
丰台, 南 北 , 3室1厅 , 112.3, 简装,飞腾家园 ,2004,6,新宫,448,39894.0
丰台, 南 北 , 2室1厅 , 57.43, 简装,芳群园四区 ,1988,6,方庄,360,62686.0
丰台, 南 北 , 3室1厅 , 116.2, 简装,和光里 ,2005,10,五里店,595,51205.0
丰台, 南 北 , 2室2厅 , 111.84, 简装,润景家园 ,2005,14,马家堡,760,67955.0
丰台, 南 北 , 3室1厅 , 78.79, 简装,莲花池南里 ,1992,6,广安门,550,69806.0
丰台, 北 , 1室1厅 , 56.96, 简装,长安新城一区 ,2005,28,青塔,277,48631.0
丰台, 北 南 , 3室1厅 , 100.34, 精装,精图小区56号院 ,1997,6,丽泽,606,60395.0
丰台, 东南 , 2室1厅 , 66.88, 精装,芳城园一区 ,1993,31,方庄,405,60557.0
丰台, 南 北 , 2室1厅 , 54.7, 精装,洋桥北里 ,1988,6,洋桥,330,60330.0
丰台, 东南 , 2室1厅 , 103.13, 精装,嘉园一里 ,1998,22,马家堡,465,45089.0
丰台, 西南 , 2室1厅 , 61.93, 精装,芳古园一区 ,1990,18,方庄,395,63782.0
丰台, 西南 西北 , 3室1厅 , 79.4, 简装,芳城园一区 ,1989,27,方庄,472,59446.0
